id,Akteursbezeichnung,Instagram-Follower,Marktwert,Alter,Berater,Spielzeit bei WM,Type,national/international
_Doppelherz,Doppelherz,,,,,,2,
_EA_Sports_Fifa,EA Sports Fifa,,,,,,2,
_Edel_Optics,Edel Optics,,,,,,2,
_EHFK,EHFK,,,,,,2,
_Elterninitiative_Saarland,Elterninitiative Saarland,,,,,,3,
_ELTERNTREFF_Dortmund,Elterntreff Dortmund,,,,,,2,
_FC_Schalke_04,FC Schalke 04,,,,,,2,
_Ferrero,Ferrero,,,,,,2,
_Fight_for_Finn,Fight for Finn,,,,,,3,
_FOX,Fox,,,,,,2,
_Gazi,Gazi,,,,,,2,
_Gemeinde_Dietingen,Gemeinde Dietingen,,,,,,3,
_Gillette,Gilette,,,,,,2,
_Head_and_Shoulders,Head and Shoulders,,,,,,2,
_Hugo_Boss,Hugo Boss,,,,,,2,
_Initiative_der_Kinder- und_Jugendklinik_Freiburg e.V,Initiative Kinder- und Jugendklinik Freiburg,,,,,,3,
_Jamie_Jacobs,Jamie Jacobs,,,,,,2,
_JBL,JBL,,,,,,2,
_Jd_Marketing_GmbH,Jd Marketing GmbH,,,,,,2,
_Jugendhilfe_Jona,Jugendhilfe Jona,,,,,,3,
_kaliber5_SPORTS,kaliber5 Sports,,,,,,2,
_KiO_Kinderhilfe_Organtransplantation,KiO,,,,,,3,
_KT01_Collection,KT01 Collection,,,,,,2,
_Kumpelkiste,Kumpelkiste,,,,,,3,
_Laureus_Sport_for_Good,Laureus Sport for Good,,,,,,3,
_Lavia_Trauergruppe,Lavia Trauergruppe,,,,,,3,
_Lays,Lays,,,,,,2,
_Living_a_Dream,Living a Dream,,,,,,3,
_Manuel_Neuer_Kids_Foundation,Manuel Neuer Kids Foundation,,,,,,3,
_Matthias-Ginter-Stiftung,Matthias Ginter Stiftung,,,,,,3,
_McDavid_Football,McDavid Football,,,,,,2,
_McDonalds,McDonalds,,,,,,2,
_Mein_Klub_Meine_Hilfe,Mein Klub Meine Hilfe,,,,,,3,
_Mercedes_amg,Mercedes AMG,,,,,,2,
_MobileWorld24,MobileWorld24,,,,,,2,
_My_Topps,My Topps,,,,,,2,
_Nike,Nike,,,,,,2,
_Nujeens_Dream,Nujeen's Dream,,,,,,3,
_Opel,Opel,,,,,,2,
_Pepsi,Pepsi,,,,,,2,
_PlayStation,PlayStation,,,,,,2,
_Porsche_Jugendfoerderung,Porsche Jugendf̦rderung,,,,,,3,
_Puma,Puma,,,,,,2,
_Rewe,Rewe,,,,,,3,
_Rtl_Wir_Helfen_Kindern,RTL Wir Helfen Kindern,,,,,,3,
_Sami-Khedira-Stiftung,Sami Khedira Stiftung,,,,,,3,
_Show_Racism_the_Red_Card,Show Racism the Red Card,,,,,,3,
_Sky_Charity,Sky Charity,,,,,,2,
_Sony_Alpha,Sony Alpha,,,,,,2,
_SportsTotal,SportsTotal,,,,,,2,
_Tag_Heuer,Tag Heuer,,,,,,2,
_Telekom,Telekom,,,,,,3,
_The_Oezil_Charitable_Foundation,The Oezil Charitable Foundation,,,,,,3,
